epoch,train_loss,train_acc,val_loss,val_acc,lr,f1_macro
1,1.4035640816717538,53.88829903333568,0.93852513635348,64.1954482227944,5.57838861429096e-05,0.4532909095287323
2,1.183025581248634,64.29002149376089,0.9459877755615195,66.10583325934476,0.00012328652554007504,0.5078418254852295
3,1.119160563163484,66.61068177025722,0.8232480772694069,69.36429015360028,0.00020672302384242377,0.5402599573135376
4,1.065022686378497,68.25508395884741,0.7313269371656728,72.57539435911096,0.0002742220155330546,0.5687246322631836
5,1.0179071968626263,69.80847986208478,0.7540081752303043,72.40226109088756,0.00029999999999488324,0.5690109133720398
6,0.9715628547954689,71.42513623196984,0.7077861945243645,73.92346621681612,0.0002996348865440391,0.5891141891479492
7,0.9327417011875063,72.51684171195402,0.687272290388743,74.42362899168369,0.00029854149775212065,0.5959049463272095
8,0.9003542480245036,73.38029159005738,0.6906292551616371,74.91935245198141,0.000296725160499415,0.6142456531524658
9,0.8723297270291677,74.31070137730244,0.6563614894234632,75.65183935600344,0.00029419472379843987,0.6089179515838623
10,0.8474277595537328,75.00212717943405,0.6204491356294186,77.20559945544407,0.0002909625156824437,0.6331737637519836
11,0.8214571263024356,75.54890478004965,0.6081733643301263,77.65249045547367,0.0002870442831444673,0.6347067356109619
12,0.7990999367741198,76.28805339035408,0.6195344395119453,77.14492882298973,0.0002824591154195763,0.6368481516838074
13,0.7754253916265081,76.85850742293137,0.6163276848049599,77.2810678031312,0.0002772293509840268,0.6453310251235962
14,0.7533747061693625,77.55659222155221,0.5977643486849388,78.0905028263636,0.0002713804687244549,0.6482915878295898
15,0.7274655245277882,78.04195907676713,0.5766206716982405,78.67945189262778,0.0002649409638073015,0.6626189351081848
16,0.7099665128884418,78.59465578537315,0.5581048450295262,79.75228624700347,0.0002579422088532263,0.6776707172393799
17,0.6855455261537089,79.17583820118308,0.567989289577131,79.29207730326438,0.0002504183010928531,0.6734973192214966
18,0.6673394169511553,79.69856942558756,0.5677131468692506,78.94877030986416,0.00024240589624848993,0.6649066209793091
19,0.6474359576000611,80.19466466403513,0.5756728028343684,78.926573737015,0.00023394402995113438,0.668203592300415
20,0.6255778987816825,80.76733836210883,0.520288173835961,81.39335286631744,0.00022507392756280332,0.6987309455871582
21,0.6071261420266225,81.23087850660906,0.4984209867378801,82.02373553523336,0.00021583880333071316,0.711365818977356
22,0.5891630633039879,81.7680375567402,0.5144472521532389,81.49249755837698,0.00020628364985181117,0.7020770311355591
23,0.5683538056686365,82.30112722012792,0.5042833510795446,81.5487288762615,0.0001964550188733659,0.7008718252182007
24,0.550740383285248,82.73692154592302,0.5037540122198506,81.76921483322975,0.00018640079449753382,0.7048802971839905
25,0.533619421771816,83.21858895864393,0.4608958466552087,83.52570363135932,0.0001761699598948269,0.7252544164657593
26,0.5179284492861906,83.49974658818915,0.4471134521641994,83.88528811151558,0.0001658123586630296,0.7323654890060425
27,0.50185589779125,83.97364517167263,0.45754823695911584,83.61448992275592,0.0001553784519942008,0.72613924741745
28,0.4893336664014443,84.33841020158262,0.4609478007442075,83.44579596910238,0.00014491907283281842,0.7288486957550049
29,0.4726763484978638,84.6776490782839,0.44813916818096433,84.16792447246145,0.00013448517822278353,0.7413556575775146
30,0.4593109204485866,85.09494619160893,0.4591321565078297,83.82905679363107,0.0001241276010498249,0.735662579536438
31,0.4461621132975713,85.42160696383056,0.43473579869511747,84.55118529699014,0.00011389680238878913,0.7405281066894531
32,0.4312746495568659,85.78748182648874,0.4264385056184669,84.95960223741454,0.00010384262566235649,0.747399091720581
33,0.4195564750925869,86.08010772776542,0.42104608981239394,85.22892065465092,9.401405380889585e-05,0.7488089203834534
34,0.4087141595372669,86.38716145476877,0.425056687415664,85.05874692947408,8.445897064251273e-05,0.7504856586456299
35,0.4010707055846613,86.50739333582429,0.4234109973040629,85.27775311491905,7.522392756792006e-05,0.7538044452667236
36,0.3878613741439374,86.96427448383528,0.41848022560209336,85.69208914143657,6.635391678667404e-05,0.7567260265350342
37,0.3775873260244891,87.24913155587453,0.410629578372551,85.9954423037083,5.78921520996905e-05,0.7611221075057983
38,0.3676464804529446,87.50735264195686,0.4090948131473127,86.1360205984196,4.9879858373950886e-05,0.7633068561553955
39,0.359061507329709,87.6790067736792,0.41573464709656477,85.9125750984048,4.2356070699093944e-05,0.7604259848594666
40,0.354525304572578,87.78999004849969,0.4160360430593775,85.9762052739057,3.535744421238313e-05,0.7627019286155701
41,0.34749152705189507,88.06152912756048,0.4050898603218923,86.3343099825387,2.8918075518562273e-05,0.765029788017273
42,0.34203411918434967,88.23799253452505,0.40828140712174166,86.1878126017343,2.30693365746245e-05,0.763862133026123
43,0.33777104540492614,88.31235132865477,0.40760837700813873,86.46157033354051,1.7839721848791535e-05,0.7677915096282959
44,0.3321881030615959,88.454409920425,0.4023352007778331,86.52668028056468,1.32547094983286e-05,0.767524242401123
45,0.3272689784454637,88.60238762018564,0.41645201643711527,86.19077214478085,9.336637242523362e-06,0.7642290592193604
46,0.3240769433967105,88.69561357103484,0.4101000094705858,86.36982449909733,6.104593535562803e-06,0.7671233415603638
47,0.3234145296622993,88.73963693671364,0.4178721013030018,86.22480688981621,3.5743245695033505e-06,0.7644605040550232
48,0.320247304086584,88.76664286691995,0.41328903321297933,86.378703128237,1.7581575604059051e-06,0.7680537700653076
49,0.31818676936037676,88.79549851837328,0.40866204095436187,86.46600964811033,6.649406913783387e-07,0.7681620121002197
50,0.3193739421661596,88.78772968913584,0.4072378848019039,86.55035662493711,3.000000051167477e-07,0.7707257866859436
